,X,Y
20,"[0.4857358932495117, -0.5854194164276123, -0.1425098180770874, -0.18526899814605713, -0.5833873748779297, -0.2671058773994446, 0.0048285722732543945, 0.92029869556427, -1.0, 0.21532349288463593, 0.053667616099119186, -0.21743714809417725, 0.19963602721691132, 0.14715676009655, 0.23212170600891113, -0.2610001266002655, 0.017610272392630577, -0.0003447254130151123, -0.28851577639579773, -0.11904150992631912, -0.15278643369674683, 3.2547517458958453e-10, -1.2820900785470712e-08]","[1.0, -0.15227583050727844, -0.49738937616348267, 0.07933274656534195, 0.03852139040827751, 1.0, -0.6257607936859131, 1.0, -1.0]"
21,"[0.4919830560684204, -0.5834368467330933, -0.1487811803817749, -0.17480021715164185, -0.5791319608688354, -0.25619208812713623, -0.002678513526916504, 0.9679214954376221, -1.0, 0.21681666374206543, 0.047244466841220856, -0.21745991706848145, 0.19509334862232208, 0.14354678988456726, 0.23874512314796448, -0.26100000739097595, 0.007978937588632107, -0.0004007526149507612, -0.27787479758262634, -0.1170886978507042, -0.1518571972846985, 3.34444749672258e-10, -1.2820843942051852e-08]","[1.0, -0.14684325456619263, -0.4370344579219818, -0.002550242468714714, -0.29185304045677185, 1.0, -0.6334734559059143, 1.0, -1.0]"
22,"[0.4982413053512573, -0.5817980170249939, -0.15504533052444458, -0.16478097438812256, -0.5755504369735718, -0.24557214975357056, -0.010185539722442627, 0.9887142181396484, -1.0, 0.21730749309062958, 0.03924405202269554, -0.21747617423534393, 0.1865486353635788, 0.12014900892972946, 0.2329728901386261, -0.26100003719329834, 0.003676335560157895, -0.0004050455172546208, -0.26747027039527893, -0.1152566447854042, -0.15089702606201172, 3.4341490762201943e-10, -1.28208190730561e-08]","[1.0, -0.13074064254760742, -0.3408374786376953, -0.037791699171066284, -0.3276871144771576, 1.0, -0.5947681665420532, 1.0, -1.0]"
23,"[0.5044996738433838, -0.5805691480636597, -0.1613103747367859, -0.1552807092666626, -0.572688102722168, -0.2350115180015564, -0.01769232749938965, 0.9975671768188477, -1.0, 0.2173471450805664, 0.030346704646945, -0.217481330037117, 0.1769850105047226, 0.09548159688711166, 0.2317264825105667, -0.2609986960887909, 0.0017526416340842843, -0.0003832557413261384, -0.25726035237312317, -0.11354923993349075, -0.1499267816543579, 3.5238456597141976e-10, -1.2820803085844545e-08]","[1.0, -0.118892140686512, -0.23345766961574554, -0.0487624853849411, -0.2748034596443176, 1.0, -0.5279975533485413, 1.0, -1.0]"
24,"[0.5107560157775879, -0.57976233959198, -0.16757595539093018, -0.1462947130203247, -0.570433497428894, -0.22448253631591797, -0.02519923448562622, 1.0, -1.0, 0.21721382439136505, 0.02146097831428051, -0.217478945851326, 0.16758087277412415, 0.07496817409992218, 0.2307574301958084, -0.2609987258911133, 0.0008996912511065602, -0.0003563412756193429, -0.24720612168312073, -0.11194618791341782, -0.14889264106750488, 3.613538634983371e-10, -1.282078709863299e-08]","[1.0, -0.11267057806253433, -0.12662291526794434, -0.04968731850385666, -0.21942029893398285, 1.0, -0.41872847080230713, 1.0, -1.0]"
25,"[0.5170086622238159, -0.5793684720993042, -0.1738419532775879, -0.13780122995376587, -0.5686646103858948, -0.21399664878845215, -0.03270620107650757, 1.0, -1.0, 0.21694786846637726, 0.012908349744975567, -0.21747353672981262, 0.15860892832279205, 0.05861852318048477, 0.22938378155231476, -0.26099908351898193, 0.0006403361330740154, -0.00033312488812953234, -0.23727372288703918, -0.11041969805955887, -0.14773523807525635, 3.7032324429198127e-10, -1.282084749476553e-08]","[1.0, -0.11608701199293137, -0.03306020051240921, -0.03885728120803833, -0.1807359904050827, 1.0, -0.24775798618793488, 1.0, -1.0]"
26,"[0.5232588052749634, -0.5793706178665161, -0.18010884523391724, -0.12976402044296265, -0.5672908425331116, -0.2035629153251648, -0.040213167667388916, 1.0, -1.0, 0.21673643589019775, 0.004729855339974165, -0.2174716740846634, 0.15041762590408325, 0.04528229683637619, 0.22779570519924164, -0.260999470949173, 0.0006116883014328778, -0.00031493662390857935, -0.22743776440620422, -0.10894613713026047, -0.14641696214675903, 3.7929312468598653e-10, -1.2820831507553976e-08]","[1.0, -0.12759903073310852, 0.04887932911515236, -0.03339535742998123, -0.16159047186374664, 1.0, -0.048646215349435806, 1.0, -1.0]"
27,"[0.5295072793960571, -0.5797611474990845, -0.1863764524459839, -0.12215328216552734, -0.5662603378295898, -0.19316959381103516, -0.047720253467559814, 1.0, -1.0, 0.21664045751094818, -0.0034065821673721075, -0.2174728959798813, 0.14272011816501617, 0.03365297615528107, 0.22663584351539612, -0.26099973917007446, 0.0005893173511140049, -0.0003007419581990689, -0.2176779806613922, -0.10751034319400787, -0.14491665363311768, 3.8826256099078194e-10, -1.2820868811047603e-08]","[1.0, -0.14383001625537872, 0.12358109652996063, -0.0317261666059494, -0.1608513742685318, 1.0, 0.16888883709907532, 1.0, -1.0]"
28,"[0.5357558727264404, -0.5805461406707764, -0.19264453649520874, -0.11495435237884521, -0.5655559301376343, -0.18279314041137695, -0.05522739887237549, 1.0, -1.0, 0.2166658490896225, -0.011789345182478428, -0.2174779176712036, 0.13526880741119385, 0.022553367540240288, 0.22618389129638672, -0.26099979877471924, 0.0005724112852476537, -0.0002892041520681232, -0.20797911286354065, -0.10610676556825638, -0.1432221531867981, 3.9723183076212365e-10, -1.2820826178483458e-08]","[1.0, -0.16455762088298798, 0.19227510690689087, -0.03266792744398117, -0.17198987305164337, 1.0, 0.41035404801368713, 1.0, -1.0]"
29,"[0.5420061349868774, -0.5817440748214722, -0.19891297817230225, -0.10816121101379395, -0.565183162689209, -0.17240530252456665, -0.06273454427719116, 1.0, -1.0, 0.21681690216064453, -0.02068278007209301, -0.2174869030714035, 0.12789873778820038, 0.011247508227825165, 0.2265656292438507, -0.2609998881816864, 0.000558494939468801, -0.00027876097010448575, -0.19832852482795715, -0.10473820567131042, -0.14132678508758545, 4.0620129482249467e-10, -1.2820774664135115e-08]","[1.0, -0.18758711218833923, 0.2557952105998993, -0.035721637308597565, -0.1920929104089737, 1.0, 0.6833475828170776, 1.0, -0.8851032257080078]"
30,"[0.5482590198516846, -0.5833837389945984, -0.20518141984939575, -0.10177469253540039, -0.5651636123657227, -0.16197657585144043, -0.07024174928665161, 1.0, -1.0, 0.21704088151454926, -0.030277131125330925, -0.21749983727931976, 0.1205017939209938, -0.0007958507048897445, 0.22780756652355194, -0.2609998881816864, 0.0005462240078486502, -0.0002685675281099975, -0.18871399760246277, -0.1034192368388176, -0.13922274112701416, 4.1517106419419747e-10, -1.2820843942051852e-08]","[1.0, -0.21219396591186523, 0.3157024681568146, -0.04150640219449997, -0.2208152860403061, 1.0, 0.9983405470848083, 1.0, -0.7519849538803101]"
31,"[0.5545147657394409, -0.5855023860931396, -0.21144962310791016, -0.09580099582672119, -0.5655328035354614, -0.15147805213928223, -0.07774889469146729, 1.0, -1.0, 0.2172766476869583, -0.04073510691523552, -0.21750012040138245, 0.11295095831155777, -0.014092981815338135, 0.2298579216003418, -0.26100003719329834, 0.0005382213275879622, -0.00026130638434551656, -0.1791239082813263, -0.10216755419969559, -0.13690251111984253, 4.2414080581032465e-10, -1.2820808414915064e-08]","[1.0, -0.236911803483963, 0.3721889555454254, -0.05875837057828903, -0.24305422604084015, 1.0, 1.0, 1.0, -0.6116056442260742]"
32,"[0.5607724189758301, -0.588147759437561, -0.21771705150604248, -0.09026288986206055, -0.5663160085678101, -0.14088040590286255, -0.08525615930557251, 1.0, -1.0, 0.217415452003479, -0.052286382764577866, -0.21750007569789886, 0.10479322820901871, -0.02818695269525051, 0.23279212415218353, -0.2610000669956207, 0.0005296285962685943, -0.00025202176766470075, -0.1695442497730255, -0.10099733620882034, -0.13434255123138428, 4.3311057518202745e-10, -1.282082084941294e-08]","[1.0, -0.2682458162307739, 0.43368101119995117, -0.1053437888622284, -0.2415371686220169, 1.0, 1.0, 1.0, -0.47311869263648987]"
33,"[0.5670289993286133, -0.5913928747177124, -0.22398310899734497, -0.08523964881896973, -0.5674980878829956, -0.1301446557044983, -0.09276336431503296, 1.0, -1.0, 0.21741746366024017, -0.06557231396436691, -0.21750016510486603, 0.09469955414533615, -0.04162384197115898, 0.23695261776447296, -0.2610000669956207, 0.0005191482487134635, -0.00023871629673521966, -0.15995702147483826, -0.09988731145858765, -0.13148295879364014, 4.420797616866423e-10, -1.2820875916474961e-08]","[1.0, -0.33434930443763733, 0.5345326066017151, -0.23168575763702393, -0.18676480650901794, 1.0, 1.0, 1.0, -0.3508144021034241]"
