,X,Y
22,"[0.0, 0.0, -0.20891869068145752, -0.28341495990753174, -0.663887619972229, -0.2314428687095642, 0.049612998962402344, 0.8350709676742554, 0.7748461961746216, 0.19208256900310516, 0.0, -0.2128654569387436, 0.06841405481100082, -0.1267549842596054, 0.0, -0.25762319564819336, 0.0038785510696470737, 0.0, -0.20246267318725586, -0.08638060837984085, -0.0810779333114624, 1.1182103021312173e-09, -1.2895242207378033e-08]","[0.8714661598205566, 0.09575207531452179, -0.2921102046966553, 0.3778891861438751, -0.41067618131637573, 1.0, -0.09430631250143051, 0.09397084265947342, -0.5478736162185669]"
23,"[0.0, 0.0, -0.21518254280090332, -0.2786017060279846, -0.667985737323761, -0.22643816471099854, 0.04211711883544922, 0.8766038417816162, 0.6906980276107788, 0.1920095980167389, 0.0, -0.21470358967781067, 0.08307217806577682, -0.1459502875804901, 0.0, -0.25850605964660645, 0.007467392832040787, 0.0, -0.19362616539001465, -0.08055824041366577, -0.07950526475906372, 1.127231197273204e-09, -1.2895139178681347e-08]","[0.8544330596923828, 0.03648270666599274, -0.3262917399406433, 0.26607033610343933, -0.3780556917190552, 1.0, -0.033850423991680145, 0.17255593836307526, -0.6089215278625488]"
24,"[0.0, 0.0, -0.2214527130126953, -0.2731229066848755, -0.6725864410400391, -0.22110402584075928, 0.03462111949920654, 0.9467614889144897, 0.6031243801116943, 0.1877455860376358, 0.0, -0.21495841443538666, 0.096543088555336, -0.16315914690494537, 0.0, -0.25833186507225037, 0.012249820865690708, 0.0, -0.18505311012268066, -0.07353236526250839, -0.07872992753982544, 1.1362522034374933e-09, -1.2895092105225103e-08]","[0.8923265933990479, -0.026976197957992554, -0.4057222604751587, 0.1807519495487213, -0.27810752391815186, 1.0, 0.04714491590857506, 0.23774205148220062, -0.6285706758499146]"
25,"[0.0, 0.0, -0.2277349829673767, -0.26713377237319946, -0.677504301071167, -0.21529018878936768, 0.027118563652038574, 0.9789198637008667, 0.5122921466827393, 0.181293785572052, 0.0, -0.21605129539966583, 0.10728267580270767, -0.17380543053150177, 0.0, -0.2594302296638489, 0.005771973170340061, 0.0, -0.17676830291748047, -0.06523247063159943, -0.07862985134124756, 1.1452732096017826e-09, -1.289521911473912e-08]","[0.9313790798187256, 0.05592544376850128, -0.3938071131706238, 0.12050710618495941, -0.2788224220275879, 1.0, 0.07929923385381699, 0.4029596745967865, -0.5063044428825378]"
26,"[0.0, 0.0, -0.23402059078216553, -0.26097965240478516, -0.6827194690704346, -0.208831787109375, 0.01961648464202881, 0.9934207201004028, 0.4192250967025757, 0.18785987794399261, 0.0, -0.21689169108867645, 0.10799785703420639, -0.1832430064678192, 0.0, -0.25921374559402466, 0.002862428780645132, 0.0, -0.16879892349243164, -0.05554697662591934, -0.07904016971588135, 1.154293549632257e-09, -1.2895143619573446e-08]","[0.8266764283180237, -0.1448376476764679, -0.3929607570171356, 0.1991710513830185, -0.2683131992816925, 1.0, 0.1419062465429306, 0.55551677942276, -0.40766024589538574]"
27,"[0.0, 0.0, -0.24030792713165283, -0.2549859881401062, -0.688190221786499, -0.20122039318084717, 0.012109994888305664, 1.0, 0.32445216178894043, 0.2026737481355667, 0.0, -0.21711008250713348, 0.10675051063299179, -0.19125162065029144, 0.0, -0.2610366642475128, 0.0016009971732273698, 0.0, -0.16111326217651367, -0.044631101191043854, -0.07974380254745483, 1.163314222729639e-09, -1.2895210232954923e-08]","[0.6061439514160156, -0.5218900442123413, -0.4049578905105591, 0.3297180235385895, -0.2630445659160614, 1.0, 0.22998523712158203, 0.7031576037406921, -0.23436135053634644]"
28,"[0.0, 0.0, -0.24659943580627441, -0.24900370836257935, -0.6938875913619995, -0.19224345684051514, 0.004603385925292969, 1.0, 0.22980546951293945, 0.2111353725194931, 0.0, -0.2175113409757614, 0.11422464996576309, -0.1985486000776291, 0.0, -0.26103129982948303, 0.0011205737246200442, 0.0, -0.15369915962219238, -0.03297068923711777, -0.0806916356086731, 1.1723345627601134e-09, -1.2895118750577694e-08]","[0.4078042507171631, -0.7682890892028809, -0.3969905972480774, 0.2901327311992645, -0.26396822929382324, 0.8982990980148315, 0.31798428297042847, 0.893297553062439, 0.10571105778217316]"
29,"[0.0, 0.0, -0.2528947591781616, -0.2429683804512024, -0.6998170018196106, -0.18155968189239502, -0.0029033422470092773, 1.0, 0.1371217966079712, 0.21769209206104279, 0.0, -0.2175120860338211, 0.11555042117834091, -0.20526714622974396, 0.0, -0.2610225975513458, 0.0011863800464197993, 0.0, -0.14652013778686523, -0.020945368334650993, -0.08184492588043213, 1.1813549027905879e-09, -1.2895196022100208e-08]","[0.20901837944984436, -1.0, -0.3870159387588501, 0.2838991582393646, -0.2608165442943573, 0.5623832941055298, 0.42979082465171814, 1.0, 0.4911714792251587]"
30,"[0.0, 0.0, -0.25912952423095703, -0.23714089393615723, -0.7060185670852661, -0.17002493143081665, -0.010410428047180176, 1.0, 0.049065232276916504, 0.21798808872699738, 0.0, -0.2134542316198349, 0.11034343391656876, -0.21266496181488037, 0.0, -0.26005318760871887, 0.0017593823140487075, 0.0, -0.13961780071258545, -0.00935504399240017, -0.0828903317451477, 1.1903751317987599e-09, -1.2895171153104457e-08]","[0.034875039011240005, -1.0, -0.40417373180389404, 0.32376012206077576, -0.22915586829185486, 0.246023491024971, 0.5386332869529724, 1.0, 0.8617057204246521]"
31,"[0.0, 0.0, -0.26529306173324585, -0.23136305809020996, -0.7123894095420837, -0.15848004817962646, -0.017917633056640625, 1.0, -0.02244114875793457, 0.21821628510951996, 0.0, -0.20873384177684784, 0.11045902967453003, -0.2174379676580429, 0.0, -0.2594161629676819, 0.0012510692467913032, 0.0, -0.132881760597229, 0.0009788963943719864, -0.0836101770401001, 1.1993961379630491e-09, -1.2895108980615078e-08]","[-0.1436682641506195, -1.0, -0.4173412322998047, 0.28806865215301514, -0.2118760347366333, 0.008766181766986847, 0.6209676861763, 1.0, 1.0]"
