,X,Y
10,"[0.0, 0.0, -0.11969596147537231, -0.3703778386116028, -0.6165783405303955, -0.37817883491516113, 0.07987415790557861, 0.040030837059020996, 0.3732832670211792, 0.21822576224803925, 0.0, -0.2174151986837387, 0.17898964881896973, -0.07671360671520233, 0.0, -0.2610029876232147, -0.019142502918839455, 0.0, -0.31516098976135254, -0.030371924862265587, -0.0895124077796936, 7.957909886613379e-09, -1.2895164935855519e-08]","[1.0, -0.1386987268924713, -0.8467000722885132, 0.39991748332977295, -0.5670626163482666, 1.0, -0.6982381343841553, 0.3720132112503052, -0.0817597359418869]"
11,"[0.0, 0.0, -0.12597209215164185, -0.3601979613304138, -0.6196078062057495, -0.36665964126586914, 0.07237017154693604, -0.04698002338409424, 0.28031837940216064, 0.218380406498909, 0.0, -0.21740427613258362, 0.193545863032341, -0.10776317119598389, 0.0, -0.26103904843330383, -0.0192494485527277, 0.0, -0.3046109676361084, -0.02282719872891903, -0.09148848056793213, 7.966930226643854e-09, -1.2895206680241245e-08]","[1.0, -0.15159350633621216, -0.8481324315071106, 0.20594140887260437, -0.48666703701019287, 1.0, -0.6165421605110168, 0.5615252256393433, 0.15795095264911652]"
12,"[0.0, 0.0, -0.13224679231643677, -0.3494032025337219, -0.6233950853347778, -0.3553697466850281, 0.0648655891418457, -0.12883609533309937, 0.18995201587677002, 0.2180885523557663, 0.0, -0.21744640171527863, 0.20322337746620178, -0.13285081088542938, 0.0, -0.26106029748916626, -0.01933661475777626, 0.0, -0.29452991485595703, -0.01544271968305111, -0.09404051303863525, 7.975950566674328e-09, -1.2895153389536063e-08]","[0.9673799276351929, -0.17009972035884857, -0.8112601041793823, 0.024793941527605057, -0.4220878779888153, 1.0, -0.5445997714996338, 0.7194374203681946, 0.4212563633918762]"
13,"[0.0, 0.0, -0.13851666450500488, -0.33841627836227417, -0.6277966499328613, -0.34434378147125244, 0.05736351013183594, -0.04137986898422241, 0.10387349128723145, 0.21773386001586914, 0.0, -0.21750156581401825, 0.20395778119564056, -0.1533089280128479, 0.0, -0.26102983951568604, 0.020594293251633644, 0.0, -0.2848687171936035, -0.00806359015405178, -0.09691184759140015, 7.984970906704802e-09, -1.2895115197864015e-08]","[0.9416925311088562, -0.4526350498199463, -0.6852440237998962, -0.03475720435380936, -0.1774546504020691, 0.6860762238502502, -0.30273401737213135, 0.5806368589401245, 0.5220823287963867]"
14,"[0.0, 0.0, -0.144783616065979, -0.327600359916687, -0.632382333278656, -0.33334213495254517, 0.049855709075927734, 0.049295663833618164, 0.12643671035766602, 0.2121662199497223, 0.0, -0.2175016701221466, 0.20022384822368622, -0.1585238128900528, 0.0, -0.26103612780570984, 0.020558327436447144, 0.0, -0.27552032470703125, -0.0006626006215810776, -0.09975051879882812, 7.993991246735277e-09, -1.2895127632361891e-08]","[0.8456498980522156, -0.5600151419639587, -0.615867555141449, 0.04028422012925148, -0.17827746272087097, 0.6290928721427917, -0.22138141095638275, 0.6464617848396301, 0.6393230557441711]"
15,"[0.0, 0.0, -0.15105342864990234, -0.3171652555465698, -0.6370866894721985, -0.3222354054450989, 0.042348504066467285, 0.14369940757751465, 0.21376514434814453, 0.2119349092245102, 0.0, -0.21750207245349884, 0.19554775953292847, -0.16269747912883759, 0.0, -0.2610403001308441, 0.020574185997247696, 0.0, -0.26647210121154785, 0.006899723783135414, -0.10246056318283081, 8.003011586765751e-09, -1.2895227996523317e-08]","[0.7342302203178406, -0.7309291362762451, -0.5547720193862915, 0.1663651168346405, -0.14059460163116455, 0.5327421426773071, -0.15766502916812897, 0.6986841559410095, 0.6311650276184082]"
16,"[0.0, 0.0, -0.1573294997215271, -0.30721426010131836, -0.641834020614624, -0.31071949005126953, 0.03484237194061279, 0.23783302307128906, 0.30493342876434326, 0.21775329113006592, 0.0, -0.21705126762390137, 0.18546585738658905, -0.16374622285366058, 0.0, -0.2609444856643677, 0.02059349976480007, 0.0, -0.25774574279785156, 0.014483446255326271, -0.10504770278930664, 8.012031926796226e-09, -1.2895176482174975e-08]","[0.5574682354927063, -0.9802597761154175, -0.49002933502197266, 0.3820977210998535, -0.10646355897188187, 0.42952197790145874, -0.09753970056772232, 0.7227643728256226, 0.597572386264801]"
17,"[0.0, 0.0, -0.16359710693359375, -0.29759806394577026, -0.6465609073638916, -0.2991824150085449, 0.0273360013961792, 0.33085668087005615, 0.39565229415893555, 0.21813392639160156, 0.0, -0.21467116475105286, 0.18191561102867126, -0.16212789714336395, 0.0, -0.2607772648334503, 0.02062331698834896, 0.0, -0.24950242042541504, 0.021373236551880836, -0.10762554407119751, 8.0210522668267e-09, -1.2895156054071322e-08]","[0.48237183690071106, -1.0, -0.46973833441734314, 0.4785907566547394, -0.029743947088718414, 0.3304406404495239, -0.05691812187433243, 0.7658214569091797, 0.5650455355644226]"
18,"[0.0, 0.0, -0.16985225677490234, -0.2878364324569702, -0.6511256098747253, -0.28764480352401733, 0.019829630851745605, 0.42250561714172363, 0.4850989580154419, 0.21846063435077667, 0.0, -0.21224485337734222, 0.1873670518398285, -0.15620587766170502, 0.0, -0.26056745648384094, 0.02057882584631443, 0.0, -0.24177265167236328, 0.026960084214806557, -0.1104382872581482, 8.030072606857175e-09, -1.2895148060465544e-08]","[0.4813528060913086, -1.0, -0.4761906862258911, 0.4120219051837921, 0.05893496423959732, 0.2412264496088028, -0.030383119359612465, 0.81832355260849, 0.5062777400016785]"
19,"[0.0, 0.0, -0.17608100175857544, -0.2776743173599243, -0.655402660369873, -0.2761058807373047, 0.012323141098022461, 0.5126951932907104, 0.5732201337814331, 0.21869750320911407, 0.0, -0.20945870876312256, 0.19483260810375214, -0.14576230943202972, 0.0, -0.2603440284729004, 0.020499400794506073, 0.0, -0.23453092575073242, 0.030814165249466896, -0.11360955238342285, 8.03909294688765e-09, -1.2895148948643964e-08]","[0.5305434465408325, -1.0, -0.5039146542549133, 0.27459433674812317, 0.1531817615032196, 0.16803881525993347, -0.005166629329323769, 0.8672299981117249, 0.4373423457145691]"
